loss,accuracy,val_loss,val_accuracy
1.0362837314605713,0.7378979325294495,0.16156426072120667,0.7843023538589478
0.1685686558485031,0.7711876630783081,0.16791266202926636,0.7732558250427246
0.1631813794374466,0.7755487561225891,0.15317927300930023,0.7906976938247681
0.15877969563007355,0.7825265526771545,0.1562502682209015,0.7779069542884827
0.1597830057144165,0.7841256260871887,0.1501111090183258,0.794767439365387
0.15702739357948303,0.7839802503585815,0.15127737820148468,0.794767439365387
0.1569361835718155,0.7832533717155457,0.14858350157737732,0.794767439365387
0.15640582144260406,0.7833987474441528,0.14825432002544403,0.7982558012008667
0.15582506358623505,0.7844163179397583,0.14934639632701874,0.7883720993995667
0.15582533180713654,0.7838348746299744,0.1483500748872757,0.794767439365387
0.15508145093917847,0.7794737815856934,0.14954553544521332,0.7982558012008667
0.15583044290542603,0.787905216217041,0.1488496959209442,0.7936046719551086
0.15393494069576263,0.7881959676742554,0.15055732429027557,0.7906976938247681
0.15488183498382568,0.7838348746299744,0.14795969426631927,0.7930232286453247
0.1538669764995575,0.7832533717155457,0.1466435194015503,0.7965116500854492
